,10대,20대,30대,40대,50대,60대 이상,10대,20대,30대,40대,50대,60대 이상
가야산,0.9,3.6,6.4,11.4,18.9,12.8,0.4,1.6,4.9,9.8,16.3,13
경주,3.4,6.8,8.6,14,13.6,9,3,5.7,7.6,10.7,10.4,7.5
계룡산,1.6,6.4,9.1,14.4,15.8,9.4,1.4,4.4,6.5,10.8,12.9,7.4
내장산,0.9,2.7,7.9,13.3,17,14.1,1,3,5.3,10.8,13.2,10.9
다도해해상,1.9,3.2,10.5,15.3,18.1,14,1.4,1.9,5.7,7.4,11.5,9.1
덕유산,5.7,14.1,15,16.2,9.3,4.2,3.1,5.7,8.1,9.7,5.6,3.3
무등산,3.1,5.6,8.4,11.2,12.8,11,3.1,5.4,8,9.6,12,9.8
변산반도,2,4.5,9.1,14.5,15.4,11.8,1.7,3.7,7,10.2,10.8,9.3
북한산,3.5,6.4,8.3,10.6,11.8,10,3.5,5.6,8,10.8,11.7,10
설악산,2.5,6.3,8.7,14.3,15.1,9.5,2.2,4.4,6.8,10.3,11.9,8
소백산,1.2,3.5,8.6,15.7,18.8,14.3,0.8,1.8,4.7,8,13.1,9.6
속리산,1.9,4.1,6.4,14.7,16.8,13.3,2.4,3.5,5.5,7.8,12.9,10.7
오대산,0.5,1.9,6.2,13.7,17.9,13.8,0.3,1.9,5.5,9.7,17.1,11.5
월악산,0.9,2.1,6.9,13.1,19.6,17.3,0.4,1.6,4.9,8.3,13.3,11.7
월출산,2.2,3.5,9.6,15,17.7,12.6,2.4,2.3,5.9,8.7,10.4,9.8
주왕산,0.4,3.1,9.5,14.5,18.9,14.7,0.4,1.5,5.4,7,12.2,12.5
지리산,1.4,2,6.2,16.4,18.5,12,0.9,1.5,5.1,10.3,14.8,11
치악산,1.7,4.4,8.7,13.6,17.8,11,1.5,2.8,6.2,10.8,13.6,8
태안해안,1.1,6,13.6,16.6,18,11.4,0.9,2.7,5.6,7.1,9,8.1
한라산,1.6,5.6,10.8,19.4,18.5,7.6,0.9,3.8,5.7,10.8,11.2,4.1
한려해상,1.7,4,8.7,14.8,18.3,15.5,1.3,2.9,5.1,8.5,10.8,8.5
태백산,1.4,2.7,7.2,13.2,18.4,12.6,1.3,2.5,5.6,10,15.2,10
