,합계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
합계,46406887,2862327,2249526,2958470,3645470,4766127,4014144,3656375,4703162,3571249,6548859,5216813,2214365
지리산,2933492,136026,93673,190564,230852,374148,253145,302664,436133,182526,357655,289978,86128
경주,3196413,188062,137816,223817,245427,344299,304340,282579,238886,298437,404919,373420,154411
계룡산,1690985,103470,92766,130684,155232,172713,148029,126978,144589,143317,235125,174079,64003
한려해상,6164414,425929,373364,518952,607731,625991,513238,497488,761725,467416,571406,479591,321583
오동도,2087038,213197,142918,163307,206814,193386,160511,154384,219864,145360,212325,153039,121933
설악산,3628508,156295,81932,118630,223744,352207,303708,305898,419118,326981,917826,281772,140397
속리산,1195694,42592,42255,60798,81107,112027,122255,134858,162053,92160,189113,126156,30320
한라산,1166202,136178,97261,74497,96976,105826,93486,67778,77866,95064,133509,105697,82064
내장산,1884562,56752,44743,50229,63997,90444,78245,71042,89387,86119,308681,888536,56387
가야산,883532,41320,44412,54393,69482,89997,63230,55796,83113,68383,171358,110555,31493
덕유산,1799593,300363,163708,45279,53188,118572,128031,174380,238441,85167,199430,146706,146328
오대산,1556621,124455,74664,60383,82380,158820,151227,132988,161816,100538,321284,131671,56395
주왕산,1139261,16219,12520,15570,31540,71758,46456,52239,79072,53229,382819,343367,34472
태안해안,1203480,29396,41413,60138,78458,176890,132437,158159,202648,99503,130076,56813,37549
다도해해상,1452861,69397,68525,139960,225410,125655,119802,93203,137437,136135,162200,111112,64025
치악산,609208,26862,25528,27832,23077,60794,74462,45065,63292,54732,127165,58104,22295
월악산,977755,20375,24378,56888,67223,94427,107095,106720,121303,75465,145166,116896,41819
북한산,7282268,464645,425333,697439,617106,803079,672267,526192,585968,625788,849171,612570,402710
소백산,1454695,97082,65431,48397,92326,288016,169956,76283,103656,81544,219954,147863,64187
월출산,438537,15753,13251,31095,75930,42206,32687,23766,33373,30435,52441,76176,11424
변산반도,1930531,90983,89042,122884,182332,202281,159268,154859,249204,131302,259721,210650,78005
무등산,3818275,320173,237511,230041,341952,355977,340780,267440,314082,337008,409840,375101,288370
태백산,,,,,,,,,,,,,
